,Unnamed: 0,hr,,,Name,weight,mlb_g,height_inches,era,round_sort,round,draft_type,rbi,bats,description,sv,height_feet,pick,year,name_last_first,avg,overall,milb_g,Team,league_full,primary_position,team_abbrev,birth_date,so,throws,league_id,l,w,school,trans_date,sb,signed_sw,round_desc,player_id,team_id,DOB,First,Last,,
36,36,1,,,Keith Lampard,197,1,2,-1,2,2,JR,7,L,June Amateur Draft,,6,4,1965,"Lampard, Keith",0.238,24,N,HOU,National League,OF,HOU,12/20/1945,,R,104,,,Oregon,,0,N,Round 2,117440,117,12/20/45,Keith,Lampard,,
38,38,6,,,Ken Rudolph,185,1,1,-1,2,2,JR,64,R,June Amateur Draft,,6,6,1965,"Rudolph, Ken",0.213,26,N,CHC,National League,C,CHC,12/29/1946,,R,104,,,Los Angeles City College,,2,N,Round 2,121537,112,12/29/46,Ken,Rudolph,,
40,40,0,,,Alan Foster,180,1,0,3.74,2,2,JR,17,R,June Amateur Draft,0,6,8,1965,"Foster, Alan",0.119,28,N,LAD,National League,P,LA,12/8/1946,501,R,104,63,48,"Los Altos HS (Hacienda Heights, CA)",,0,N,Round 2,114327,119,12/08/46,Alan,Foster,,
41,41,87,,,Del Unser,180,1,1,-1,2,2,JR,481,L,June Amateur Draft,,6,9,1965,"Unser, Del",0.258,29,N,MIN,American League,OF,MIN,12/9/1944,,L,103,,,Mississippi State,,64,N,Round 2,123570,142,12/09/44,Del,Unser,,
43,43,0,,,Sandy Vance,180,1,2,3.83,2,2,JR,2,R,June Amateur Draft,0,6,11,1965,"Vance, Sandy",0.167,31,N,LAA,American League,P,LAA,1/5/1947,56,R,103,8,9,Pasadena HS (CA),,0,N,Round 2,123631,108,01/05/47,Sandy,Vance,,
48,48,389,,,Johnny Bench,208,1,1,-1,2,2,JR,1376,R,June Amateur Draft,,6,16,1965,"Bench, Johnny",0.267,36,N,CIN,National League,C,CIN,12/7/1947,,R,104,,,"Anadarko HS (Binger, OK)",,68,N,Round 2,110849,113,12/07/47,Johnny,Bench,,
50,50,166,,,Larry Hisle,195,1,2,-1,2,2,JR,674,R,June Amateur Draft,,6,18,1965,"Hisle, Larry",0.273,38,N,PHI,National League,OF,PHI,5/5/1947,,R,104,,,Portsmouth HS (OH),,128,N,Round 2,115979,143,05/05/47,Larry,Hisle,,
51,51,15,,,Danny Thompson,183,1,0,-1,2,2,JR,194,R,June Amateur Draft,,6,19,1965,"Thompson, Danny",0.248,39,N,NYY,American League,SS,NYY,2/1/1947,,R,103,,,Capren HS (OK),,8,N,Round 2,123277,147,02/01/47,Danny,Thompson,,
53,53,33,,,Bob Stinson,185,1,0,-1,3,3,JR,180,S,June Amateur Draft,,6,1,1965,"Stinson, Bob",0.25,41,N,KCA,American League,OF,KCA,10/11/1945,,R,103,,,Miami HS (FL),,8,N,Round 3,122804,133,10/11/45,Bob,Stinson,,
54,54,0,,,Joe Moock,180,1,1,-1,3,3,JR,5,L,June Amateur Draft,,6,2,1965,"Moock, Joe",0.225,42,N,NYM,National League,SS,NYM,3/12/1944,,R,104,,,Louisiana State,,0,N,Round 3,119275,121,03/12/44,Joe,Moock,,
55,55,1,,,Gene Martin,190,1,0,-1,3,3,JR,1,L,June Amateur Draft,,6,3,1965,"Martin, Gene",0.364,43,N,WAS,American League,OF,WAS,1/12/1947,,R,103,,,"Dougherty HS (Albany, GA)",,0,N,Round 3,118354,140,01/12/47,Gene,Martin,,
57,57,0,,,Ken Poulsen,190,1,1,-1,3,3,JR,0,L,June Amateur Draft,,6,5,1965,"Poulsen, Ken",0.2,45,N,BOS,American League,3B,BOS,8/4/1947,,R,103,,,"Birmingham HS (Van Nuys, CA)",,0,N,Round 3,120708,111,08/04/47,Ken,Poulsen,,
63,63,0,,,Dick Baney,185,1,0,4.28,3,3,JR,0,R,June Amateur Draft,3,6,11,1965,"Baney, Dick",0.125,51,N,LAA,American League,P,LAA,11/1/1946,38,R,103,1,4,Anaheim HS (CA),,0,N,Round 3,110528,108,11/01/46,Dick,Baney,,
65,65,5,,,Andy Messersmith,200,1,1,2.86,3,3,JR,54,R,June Amateur Draft,15,6,13,1965,"Messersmith, Andy",0.17,53,N,DET,American League,P,DET,8/6/1945,1625,R,103,99,130,University of California-Berkeley,,1,N,Round 3,118990,116,08/06/45,Andy,Messersmith,,
67,67,6,,,Frank Tepedino,192,1,11,-1,3,3,JR,58,L,June Amateur Draft,,5,15,1965,"Tepedino, Frank",0.241,55,N,BAL,American League,1B,BAL,11/23/1947,,L,103,,,"Wingate HS (Brooklyn, NY)",,4,N,Round 3,123189,110,11/23/47,Frank,Tepedino,,
70,70,1,,,Bill Champion,188,1,4,4.69,3,3,JR,5,R,June Amateur Draft,2,6,18,1965,"Champion, Bill",0.141,58,N,PHI,National League,P,PHI,9/18/1947,360,R,104,50,34,Shelby HS (NC),,0,N,Round 3,112181,143,09/18/47,Bill,Champion,,
73,73,2,,,Ken Holtzman,175,1,2,3.49,4,4,JR,34,R,June Amateur Draft,3,6,1,1965,"Holtzman, Ken",0.163,61,N,CHC,National League,P,CHC,11/3/1945,1601,L,104,150,174,Illinois,,0,N,Round 4,116115,112,11/03/45,Ken,Holtzman,,
78,78,31,,,Ken Boswell,170,1,0,-1,4,4,JR,244,L,June Amateur Draft,,6,6,1965,"Boswell, Ken",0.248,66,N,NYM,National League,2B,NYM,2/23/1946,,R,104,,,Sam Houston State,,27,N,Round 4,111260,121,02/23/46,Ken,Boswell,,
80,80,1,,,Stan Bahnsen,203,1,2,3.6,4,4,JR,19,R,June Amateur Draft,20,6,8,1965,"Bahnsen, Stan",0.117,68,N,NYY,American League,P,NYY,12/15/1944,1359,R,103,149,146,Nebraska,,0,N,Round 4,110434,147,12/15/44,Stan,Bahnsen,,
85,85,0,,,Harry Parker,190,1,3,3.85,4,4,JR,4,R,June Amateur Draft,12,6,13,1965,"Parker, Harry",0.086,73,N,STL,National League,P,STL,9/14/1947,172,R,104,21,15,Collinsville HS (IL),,0,N,Round 4,120229,138,09/14/47,Harry,Parker,,
86,86,390,,,Graig Nettles,185,1,0,-1,4,4,JR,1314,L,June Amateur Draft,,6,14,1965,"Nettles, Graig",0.248,74,N,MIN,American League,3B,MIN,8/20/1944,,R,103,,,San Diego State,,32,N,Round 4,119720,142,08/20/44,Graig,Nettles,,
91,91,1,,,Pete Koegel,230,1,7,-1,4,4,JR,5,R,June Amateur Draft,,6,19,1965,"Koegel, Pete",0.174,79,N,KCA,American League,OF,KCA,7/31/1947,,R,103,,,Seaford HS (NY),,0,N,Round 4,117225,133,07/31/47,Pete,Koegel,,
92,92,0,,,Fred Rath,200,1,3,4.7,4,4,JR,0,R,June Amateur Draft,0,6,20,1965,"Rath, Fred",0,80,N,CHW,American League,P,CWS,9/1/1943,7,R,103,2,0,Baylor,,0,N,Round 4,120939,145,09/01/43,Fred,Rath,,
104,104,2,,,Rich Robertson,210,1,2,4.94,5,5,JR,4,R,June Amateur Draft,2,6,12,1965,"Robertson, Rich",0.093,92,N,SFG,National League,P,SF,10/14/1944,184,R,104,14,13,Santa Clara,,0,N,Round 5,121294,137,10/14/44,Rich,Robertson,,
107,107,193,,,Amos Otis,165,1,11,-1,5,5,JR,1007,R,June Amateur Draft,,5,15,1965,"Otis, Amos",0.277,95,N,BOS,American League,SS,BOS,4/26/1947,,R,103,,,"Williamson HS (Mobile, AL)",,341,N,Round 5,120111,111,04/26/47,Amos,Otis,,
116,116,61,,,Wayne Garrett,180,1,11,-1,6,6,JR,340,L,June Amateur Draft,,5,4,1965,"Garrett, Wayne",0.239,104,N,MIL,National League,SS,MIL,12/3/1947,,R,104,,,Sarasota HS (FL),,38,N,Round 6,114632,144,12/03/47,Wayne,Garrett,,
117,117,0,,,Bob Chlupsa,215,1,7,8.84,6,6,JR,0,R,June Amateur Draft,0,6,5,1965,"Chlupsa, Bob",,105,N,PHI,National League,P,PHI,9/16/1945,11,R,104,2,0,Manhattan College,,0,N,Round 6,112254,143,09/16/45,Bob,Chlupsa,,
119,119,4,,,Clyde Wright,185,1,1,3.5,6,6,JR,32,R,June Amateur Draft,3,6,7,1965,"Wright, Clyde",0.183,107,N,LAA,American League,OF,LAA,2/20/1941,667,L,103,111,100,Carson-Newman,,0,N,Round 6,124594,108,02/20/41,Clyde,Wright,,
129,129,191,,,Hal McRae,180,1,11,-1,6,6,JR,1097,R,June Amateur Draft,,5,17,1965,"McRae, Hal",0.29,117,N,CIN,National League,SS,CIN,7/10/1945,,R,104,,,Florida A&M,,109,N,Round 6,118872,113,07/10/45,Hal,McRae,,
130,130,0,,,Bill Dillman,180,1,2,4.54,6,6,JR,1,R,June Amateur Draft,3,6,18,1965,"Dillman, Bill",0.152,118,N,BAL,American League,P,BAL,5/25/1945,86,R,103,12,7,Wake Forest,,0,N,Round 6,113369,110,05/25/45,Bill,Dillman,,
131,131,242,,,Sal Bando,205,1,0,6,6,6,JR,1039,R,June Amateur Draft,0,6,19,1965,"Bando, Sal",0.254,119,N,KCA,American League,3B,KCA,2/13/1944,0,R,103,0,0,Arizona State,,75,N,Round 6,110526,133,02/13/44,Sal,Bando,,
133,133,6,,,Garry Jestadt,188,1,2,-1,7,7,JR,36,R,June Amateur Draft,,6,1,1965,"Jestadt, Garry",0.26,121,N,CHC,National League,SS,CHC,3/19/1947,,R,104,,,"Fremont HS (Sunnyvale, CA)",,1,N,Round 7,116537,112,03/19/47,Garry,Jestadt,,
139,139,2,,,Marty Pattin,180,1,11,3.62,7,7,JR,20,R,June Amateur Draft,25,5,7,1965,"Pattin, Marty",0.123,127,N,LAA,American League,P,LAA,4/6/1943,1179,R,103,109,114,Eastern Illinois,,0,N,Round 7,120300,108,04/06/43,Marty,Pattin,,
140,140,0,,,Darcy Fast,195,1,3,5.4,7,7,JR,0,L,June Amateur Draft,0,6,8,1965,"Fast, Darcy",0,128,N,NYY,American League,P,NYY,3/10/1947,10,L,103,1,0,"North Thurston HS (Olympia, WA)",,0,N,Round 7,114034,147,03/10/47,Darcy,Fast,,
147,147,3,,,Jim Hutto,195,1,11,-1,7,7,JR,12,R,June Amateur Draft,,5,15,1965,"Hutto, Jim",0.175,135,N,BOS,American League,3B,BOS,10/17/1947,,R,103,,,Pensacola HS (FL),,0,N,Round 7,116372,111,10/17/47,Jim,Hutto,,
151,151,0,,,Scott Reid,195,1,1,-1,7,7,JR,1,L,June Amateur Draft,,6,19,1965,"Reid, Scott",0.147,139,N,KCA,American League,OF,KCA,1/7/1947,,R,103,,,Cerritos College,,0,N,Round 7,121027,133,01/07/47,Scott,Reid,,
162,162,0,,,Jim Johnson,175,1,11,8.1,8,8,JR,0,L,June Amateur Draft,0,5,10,1965,"Johnson, Jim",0,150,N,LAD,National League,OF,LA,11/3/1945,2,L,104,0,1,Las Vegas HS (NV),,0,N,Round 8,116594,119,11/03/45,Jim,Johnson,,
166,166,0,,,Ron Keller,200,1,2,3.38,8,8,JR,0,R,June Amateur Draft,0,6,14,1965,"Keller, Ron",0,154,N,MIN,American League,P,MIN,6/3/1943,12,R,103,1,0,Indiana,,0,N,Round 8,116921,142,06/03/43,Ron,Keller,,
169,169,0,,,John Morlan,178,1,0,4.16,8,8,JR,1,R,June Amateur Draft,0,6,17,1965,"Morlan, John",0.111,157,N,CIN,National League,OF,CIN,11/22/1947,61,R,104,5,2,"West HS (Columbus, OH)",,0,N,Round 8,119385,113,11/22/47,John,Morlan,,
175,175,0,,,Garry Hill,195,1,2,15.43,9,9,JR,0,R,June Amateur Draft,0,6,3,1965,"Hill, Garry",,163,N,WAS,American League,P,WAS,11/3/1946,2,R,103,1,0,"Gehringer HS (Charlotte, NC)",,0,N,Round 9,115934,140,11/03/46,Garry,Hill,,
181,181,0,,,Vic Albury,190,1,0,4.11,9,9,JR,0,L,June Amateur Draft,1,6,9,1965,"Albury, Vic",0,169,N,CLE,American League,1B,CLE,5/12/1947,193,L,103,17,18,Key West HS (FL),,0,N,Round 9,110113,114,05/12/47,Vic,Albury,,
197,197,3,,,Ken Szotkiewicz,165,1,0,-1,10,10,JR,9,L,June Amateur Draft,,6,5,1965,"Szotkiewicz, Ken",0.107,185,N,PHI,National League,2B,PHI,2/25/1947,,R,104,,,"Saleslanum HS (Wilmington, DE)",,0,N,Round 10,123067,143,02/25/47,Ken,Szotkiewicz,,
201,201,0,,,Greg Washburn,190,1,0,7.94,10,10,JR,0,R,June Amateur Draft,0,6,9,1965,"Washburn, Greg",,189,N,CLE,American League,P,CLE,12/3/1946,4,R,103,2,0,Coal City HS (IL),,0,N,Round 10,123958,114,12/03/46,Greg,Washburn,,
202,202,12,,,Tom Seaver,205,1,1,2.86,10,10,JR,86,R,June Amateur Draft,1,6,10,1965,"Seaver, Tom",0.154,190,N,LAD,National League,P,LA,11/17/1944,3640,R,104,205,311,Southern California,,4,N,Round 10,121961,119,11/17/44,Tom,Seaver,,
203,203,0,,,Gary Taylor,190,1,2,5.23,10,10,JR,0,R,June Amateur Draft,0,6,11,1965,"Taylor, Gary",0,191,N,DET,American League,P,DET,10/19/1945,3,R,103,1,0,Central Michigan,,0,N,Round 10,123137,116,10/19/45,Gary,Taylor,,
208,208,28,,,Danny Walton,200,1,0,-1,10,10,JR,107,R,June Amateur Draft,,6,16,1965,"Walton, Danny",0.223,196,N,HOU,National League,OF,HOU,7/14/1947,,R,104,,,"Bishop Amat HS (La Puente, CA)",,4,N,Round 10,123900,117,07/14/47,Danny,Walton,,
211,211,1,,,George Lauzerique,180,1,1,5,10,10,JR,4,R,June Amateur Draft,0,6,19,1965,"Lauzerique, George",0.121,199,N,KCA,American League,P,KCA,7/22/1947,73,R,103,8,4,"George Washington HS (New York, NY)",,0,N,Round 10,117541,133,07/22/47,George,Lauzerique,,
213,213,0,,,Tom House,190,1,11,3.79,11,11,JR,4,L,June Amateur Draft,33,5,1,1965,"House, Tom",0.257,201,N,CHC,National League,P,CHC,4/29/1947,261,L,104,23,29,"Nogales HS (La Puente, CA)",,0,N,Round 11,116180,112,04/29/47,Tom,House,,
218,218,0,,,Jim McAndrew,185,1,2,3.65,11,11,JR,9,R,June Amateur Draft,4,6,6,1965,"McAndrew, Jim",0.1,206,N,NYM,National League,P,NYM,1/11/1944,424,R,104,53,37,Iowa,,0,N,Round 11,118509,121,01/11/44,Jim,McAndrew,,
224,224,4,,,Chris Arnold,160,1,10,-1,11,11,JR,51,R,June Amateur Draft,,5,12,1965,"Arnold, Chris",0.237,212,N,SFG,National League,SS,SF,11/6/1947,,R,104,,,Arcadia HS (CA),,1,N,Round 11,110331,137,11/06/47,Chris,Arnold,,
228,228,0,,,Gary Gentry,180,1,0,3.56,11,11,JR,12,R,June Amateur Draft,2,6,16,1965,"Gentry, Gary",0.095,216,N,HOU,National League,P,HOU,10/6/1946,615,R,104,49,46,Phoenix College,,0,N,Round 11,114698,117,10/06/46,Gary,Gentry,,
238,238,2,,,Nolan Ryan,195,1,2,3.19,12,12,JR,36,R,June Amateur Draft,3,6,6,1965,"Ryan, Nolan",0.11,226,N,NYM,National League,P,NYM,1/31/1947,5714,R,104,292,324,Alvin HS (TX),,3,N,Round 12,121597,121,01/31/47,Nolan,Ryan,,
253,253,414,,,Darrell Evans,205,1,2,-1,13,13,JR,1354,L,June Amateur Draft,,6,1,1965,"Evans, Darrell",0.248,241,N,CHC,National League,3B,CHC,5/26/1947,,R,104,,,"Muir HS (Altadena, CA)",,98,N,Round 13,113935,112,05/26/47,Darrell,Evans,,
257,257,0,,,Dick Mills,195,1,3,2.45,13,13,JR,0,R,June Amateur Draft,0,6,5,1965,"Mills, Dick",,245,N,PHI,National League,P,PHI,1/29/1945,3,R,104,0,0,Parsons College,,0,N,Round 13,119150,143,01/29/45,Dick,Mills,,
295,295,0,,,Tom Ragland,155,1,10,-1,15,15,JR,14,R,June Amateur Draft,,5,3,1965,"Ragland, Tom",0.231,283,N,WAS,American League,SS,WAS,6/16/1946,,R,103,,,"North HS (Detroit, MI)",,2,N,Round 15,120888,140,06/16/46,Tom,Ragland,,
302,302,0,,,Leon Everitt,195,1,2,8.04,15,15,JR,0,L,June Amateur Draft,0,6,10,1965,"Everitt, Leon",0,290,N,LAD,National League,P,LA,1/12/1947,11,R,104,1,0,"Pemberton HS (Marshall, TX)",,0,N,Round 15,113947,119,01/12/47,Leon,Everitt,,
311,311,5,,,Bobby Brooks,165,1,9,-1,15,15,JR,20,R,June Amateur Draft,,5,19,1965,"Brooks, Bobby",0.231,299,N,KCA,American League,OF,KCA,11/1/1945,,R,103,,,Los Angeles Harbor College,,0,N,Round 15,111514,133,11/01/45,Bobby,Brooks,,
312,312,0,,,John Montague,213,1,2,4.76,15,15,JR,0,R,June Amateur Draft,21,6,20,1965,"Montague, John",0.083,300,N,CHW,American League,P,CWS,9/12/1947,260,R,103,26,24,"Newport HS (Newport News, VA)",,0,N,Round 15,119256,145,09/12/47,John,Montague,,
313,313,0,,,John Hairston,200,1,2,-1,16,16,JR,0,R,June Amateur Draft,,6,1,1965,"Hairston, John",0.25,301,N,CHC,National League,C,CHC,8/27/1944,,R,104,,,Southern,,0,N,Round 16,115316,112,08/27/44,John,Hairston,,
319,319,0,,,Jarvis Tatum,185,1,0,-1,16,16,JR,8,R,June Amateur Draft,,6,7,1965,"Tatum, Jarvis",0.232,307,N,LAA,American League,OF,LAA,10/11/1946,,R,103,,,"Edison HS (Fresno, CA)",,1,N,Round 16,123110,108,10/11/46,Jarvis,Tatum,,
335,335,0,,,Dick Tidrow,213,1,4,3.68,17,17,JR,7,R,June Amateur Draft,55,6,3,1965,"Tidrow, Dick",0.095,323,N,WAS,American League,P,WAS,5/14/1947,975,R,103,94,100,Mount Eden HS (CA),,0,N,Round 17,123333,140,05/14/47,Dick,Tidrow,,
354,354,1,,,Bob Moose,200,1,0,3.5,18,18,JR,14,R,June Amateur Draft,19,6,2,1965,"Moose, Bob",0.141,342,N,PIT,National League,P,PIT,10/9/1947,827,R,104,71,76,"Franklin Area HS (Export, PA)",,2,N,Round 18,119329,134,10/09/47,Bob,Moose,,
355,355,0,,,Bill Gogolewski,190,1,4,4.02,18,18,JR,7,L,June Amateur Draft,10,6,3,1965,"Gogolewski, Bill",0.127,343,N,WAS,American League,P,WAS,10/26/1947,301,R,103,24,15,Oshkosh HS (WI),,0,N,Round 18,114890,140,10/26/47,Bill,Gogolewski,,
367,367,0,,,Ray Jarvis,198,1,2,4.64,18,18,JR,2,R,June Amateur Draft,1,6,15,1965,"Jarvis, Ray",0.069,355,N,BOS,American League,P,BOS,5/10/1946,44,R,103,7,5,"Hope HS (Providence, RI)",,0,N,Round 18,116498,111,05/10/46,Ray,Jarvis,,
368,368,1,,,Tom Murphy,185,1,3,3.78,18,18,JR,18,R,June Amateur Draft,59,6,16,1965,"Murphy, Tom",0.145,356,N,HOU,National League,P,HOU,12/30/1945,621,R,104,101,68,Ohio,,0,N,Round 18,119572,117,12/30/45,Tom,Murphy,,
369,369,4,,,Oscar Brown,175,1,0,-1,18,18,JR,28,R,June Amateur Draft,,6,17,1965,"Brown, Oscar",0.244,357,N,CIN,National League,OF,CIN,2/8/1946,,R,104,,,"Poly HS (Long Beach, CA)",,0,N,Round 18,111582,113,02/08/46,Oscar,Brown,,
394,394,0,,,Gene Garber,175,1,10,3.34,20,20,JR,4,R,June Amateur Draft,218,5,2,1965,"Garber, Gene",0.148,382,N,PIT,National League,P,PIT,11/13/1947,940,R,104,113,96,Elizabethtown HS (PA),,0,N,Round 20,114577,134,11/13/47,Gene,Garber,,
396,396,0,,,John Noriega,185,1,4,7.36,20,20,JR,0,R,June Amateur Draft,0,6,4,1965,"Noriega, John",0.25,384,N,MIL,National League,P,MIL,12/20/1943,10,R,104,0,0,Utah,,0,N,Round 20,119835,144,12/20/43,John,Noriega,,
411,411,201,,,Gene Tenace,190,1,0,-1,20,20,JR,674,R,June Amateur Draft,,6,19,1965,"Tenace, Gene",0.241,399,N,KCA,American League,SS,KCA,10/10/1946,,R,103,,,"Valley HS (Lucasville, OH)",,36,N,Round 20,123183,133,10/10/46,Gene,Tenace,,
414,414,0,,,Jophery Brown,190,1,2,4.5,21,21,JR,0,L,June Amateur Draft,0,6,2,1965,"Brown, Jophery",,402,N,PIT,National League,P,PIT,1/22/1945,0,R,104,0,0,Grambling State,,0,N,Round 21,111562,134,01/22/45,Jophery,Brown,,
416,416,4,,,Ken Tatum,205,1,2,2.93,21,21,JR,6,R,June Amateur Draft,52,6,4,1965,"Tatum, Ken",0.244,404,N,MIL,National League,P,MIL,4/25/1944,156,R,104,12,16,Mississippi State,,0,N,Round 21,123111,144,04/25/44,Ken,Tatum,,
419,419,7,,,Doug Griffin,170,1,0,-1,21,21,JR,165,R,June Amateur Draft,,6,7,1965,"Griffin, Doug",0.245,407,N,LAA,American League,2B,LAA,6/4/1947,,R,103,,,"El Monte HS (La Puente, CA)",,33,N,Round 21,115138,108,06/04/47,Doug,Griffin,,
425,425,1,,,Dan McGinn,190,1,0,5.11,21,21,JR,6,L,June Amateur Draft,10,6,13,1965,"McGinn, Dan",0.165,413,N,STL,National League,P,STL,11/29/1943,293,L,104,30,15,Notre Dame,,0,N,Round 21,118708,138,11/29/43,Dan,McGinn,,
429,429,6,,,Charlie Sands,215,1,2,-1,21,21,JR,23,L,June Amateur Draft,,6,17,1965,"Sands, Charlie",0.214,417,N,BAL,American League,C,BAL,12/17/1947,,R,103,,,"Newport News HS (Newport News, VA)",,0,N,Round 21,121680,110,12/17/47,Charlie,Sands,,
431,431,0,,,Paul Edmondson,195,1,5,3.7,21,21,JR,1,R,June Amateur Draft,0,6,19,1965,"Edmondson, Paul",0.172,419,N,CHW,American League,P,CWS,2/12/1943,46,R,103,6,1,Cal State Northridge,,0,N,Round 21,113746,145,02/12/43,Paul,Edmondson,,
433,433,41,,,Freddie Patek,148,1,5,-1,22,22,JR,490,R,June Amateur Draft,,5,2,1965,"Patek, Freddie",0.242,421,N,PIT,National League,SS,PIT,10/9/1944,,R,104,,,"Seguin, TX",,385,N,Round 22,120280,134,10/09/44,Freddie,Patek,,
441,441,0,,,Rick Austin,190,1,4,4.63,22,22,JR,0,R,June Amateur Draft,6,6,10,1965,"Austin, Rick",0.105,429,N,DET,American League,P,DET,10/27/1946,106,L,103,8,4,"Lakes HS (Tacoma, WA)",,0,N,Round 22,110390,116,10/27/46,Rick,Austin,,
442,442,0,,,Ron Bryant,190,1,0,4.02,22,22,JR,20,S,June Amateur Draft,1,6,11,1965,"Bryant, Ron",0.165,430,N,SFG,National League,P,SF,11/12/1947,509,L,104,56,57,Davis HS (CA),,0,N,Round 22,111646,137,11/12/47,Ron,Bryant,,
456,456,0,,,Tommy Gramly,175,1,3,2.7,23,23,JR,0,R,June Amateur Draft,0,6,7,1965,"Gramly, Tommy",,444,N,NYY,American League,P,NYY,4/19/1945,1,R,103,1,0,San Angelo Junior College,,0,N,Round 23,115036,147,04/19/45,Tommy,Gramly,,
458,458,0,,,Rich Hinton,185,1,2,4.87,23,23,JR,0,L,June Amateur Draft,3,6,9,1965,"Hinton, Rich",0.143,446,N,LAD,National League,P,LA,5/22/1947,152,L,104,17,9,Marana HS (AZ),,1,N,Round 23,115975,119,05/22/47,Rich,Hinton,,
