,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF,Debut Year
17,abboo101,Abbott,Ody Cleon,Ody,09/05/1886,New Eagle,Pennsylvania,USA,9/10/1910,10/15/1910,,,,,,,4/13/1933,Washington,D.C.,USA,L,R,9-May,165,Monongahela Cemetery,Monongahela,Pennsylvania,USA,,,,,NOT,1910
18,abbop001,Abbott,Paul David,Paul,9/15/1967,Van Nuys,California,USA,8/21/1990,8/7/2004,,,,,,,,,,,R,R,3-Jun,185,,,,,,,,,NOT,1990
19,abera101,Aber,Albert Julius,Al,7/31/1927,Cleveland,Ohio,USA,9/15/1950,9/11/1957,,,,,,,5/20/1993,Garfield Heights,Ohio,USA,L,L,2-Jun,195,"Cremated, interred in West Park Cemetery",Cleveland,Ohio,USA,,,,,NOT,1950
20,aberb001,Abernathy,Michael Brent,Brent,9/23/1977,Atlanta,Georgia,USA,6/25/2001,9/29/2005,,,,,,,,,,,R,R,1-Jun,185,,,,,,,,,NOT,2001
21,aberb101,Abernathie,William Edward,Bill,1/30/1929,Torrance,California,USA,9/27/1952,9/27/1952,,,,,,,2/19/2006,Yucaipa,California,USA,R,R,10-May,190,Montecito Memorial Park,Colton,California,USA,,,,,NOT,1952
22,aberc101,Aberson,Clifford Alexander,Cliff,8/28/1921,Chicago,Illinois,USA,7/18/1947,5/9/1949,,,,,,,6/23/1973,Vallejo,California,USA,R,R,Jun-00,200,Suisun-Fairfield Cemetery,Fairfield,California,USA,,,,,NOT,1947
23,aberd101,Abercrombie,Francis Patterson,Frank,01/02/1850,Fort Towson,Oklahoma,USA,10/21/1871,10/21/1871,,,,,,,11/11/1939,Philadelphia,Pennsylvania,USA,,,,,Cremated,,,,,,,,NOT,1871
24,aberr001,Abercrombie,Reginald Damascus,Reggie,7/15/1980,Columbus,Georgia,USA,4/4/2006,9/28/2008,,,,,,,,,,,R,R,3-Jun,224,,,,,,,,,NOT,2006
25,abert101,Abernathy,Theodore Wade,Ted,3/6/1933,Stanley,North Carolina,USA,4/13/1955,9/30/1972,,,,,,,12/16/2004,Gastonia,North Carolina,USA,R,R,4-Jun,215,Gaston Memorial Park,Gastonia,North Carolina,USA,,,,,NOT,1955
26,abert102,Abernathy,Talmadge Lafayette,Ted,10/30/1921,Bynum,North Carolina,USA,9/19/1942,4/29/1944,,,,,,,11/16/2001,Charlotte,North Carolina,USA,R,L,2-Jun,210,Olney Presbyterian Church Cemetery,Gastonia,North Carolina,USA,,,,,NOT,1942
27,aberw101,Abernathy,Virgil Woodrow,Woody,2/1/1915,Forest City,North Carolina,USA,7/28/1946,4/17/1947,,,,,,,12/5/1994,Louisville,Kentucky,USA,L,L,Jun-00,170,Resthaven Memorial Park,Louisville,Kentucky,USA,,,,,NOT,1946
28,ableh101,Ables,Harry Terrell,Harry,10/04/1883,Terrell,Texas,USA,9/2/1905,5/5/1911,,,,,,,2/8/1951,San Antonio,Texas,USA,R,L,6-02.5,200,San Jose Burial Park,San Antonio,Texas,USA,,,,,NOT,1905
29,abnes001,Abner,Shawn Wesley,Shawn,6/17/1966,Hamilton,Ohio,USA,9/8/1987,10/3/1992,,,,,,,,,,,R,R,1-Jun,190,,,,,,,,,NOT,1987
30,abrac101,Abrams,Calvin Ross,Cal,3/2/1924,Philadelphia,Pennsylvania,USA,4/19/1949,5/9/1956,,,,,,,2/25/1997,Fort Lauderdale,Florida,USA,L,L,Jun-00,185,Star of David Memorial Gardens,North Lauderdale,Florida,USA,"Garden Of Moses, Lot 205, Grave 1",,,,NOT,1949
31,abrag101,Abrams,George Allen,George,11/09/1899,Seattle,Washington,USA,4/19/1923,5/4/1923,,,,,,,12/5/1986,Clearwater,Florida,USA,R,R,9-May,170,Sylvan Abbey Memorial Park,Clearwater,Florida,USA,,,,,NOT,1923
32,abrea001,Abreu,Albert Emmanuel,Albert,9/26/1995,Guayubin,Monte Cristi,Dominican Republic,8/8/2020,9/3/2020,,,,,,,,,,,R,R,2-Jun,190,,,,,,,,,,2020
33,abreb001,Abreu,Bob Kelly,Bobby,3/11/1974,Maracay,Aragua,Venezuela,9/1/1996,9/28/2014,,,,,,,,,,,L,R,Jun-00,160,,,,,,,,,NOT,1996
34,abreb002,Abreu,Bryan Enrique,Bryan,4/22/1997,Santo Domingo,Distrito Nacional,Dominican Republic,7/31/2019,8/4/2020,,,,,,,,,,,R,R,1-Jun,204,,,,,,,,,,2019
35,abrej001,Abrego,Johnny Ray,Johnny,7/4/1962,Corpus Christi,Texas,USA,9/4/1985,10/3/1985,,,,,,,,,,,R,R,Jun-00,185,,,,,,,,,NOT,1985
36,abrej002,Abreu,Juan de Dios (Reyes),Juan,4/8/1985,San Francisco de Macoris,Duarte,Dominican Republic,8/29/2011,9/27/2011,,,,,,,,,,,R,R,Jun-00,180,,,,,,,,,NOT,2011
37,abrej003,Abreu,Jose Dariel (Correa),Jose,1/29/1987,Cienfuegos,,Cuba,3/31/2014,10/1/2020,,,,,,,,,,,R,R,3-Jun,255,,,,,,,,,NOT,2014
38,abrej101,Abreu,Joseph Lawrence,Joe,5/24/1913,Oakland,California,USA,4/23/1942,7/11/1942,,,,,,,3/17/1993,Hayward,California,USA,R,R,8-May,160,Evergreen-Washelli Cemetery,Seattle,Washington,USA,Cremated,,,,NOT,1942
39,abret001,Abreu,Etanislao Toni,Tony,11/13/1984,Puerto Plata,Puerto Plata,Dominican Republic,5/22/2007,7/28/2014,,,,,,,,,,,B,R,9-May,185,,,,,,,,,NOT,2007
40,abrew001,Abreu,Winston Leonardo,Winston,4/5/1977,Cotui,Sanchez Ramirez,Dominican Republic,8/6/2006,7/25/2009,,,,,,,,,,,R,R,2-Jun,155,,,,,,,,,NOT,2006
41,abstb101,Abstein,William Henry,Bill,02/02/1883,St. Louis,Missouri,USA,9/25/1906,6/2/1910,,,,,,,4/8/1940,St. Louis,Missouri,USA,R,R,Jun-00,185,Bethlehem Cemetery,Bellefontaine Neighbors,Missouri,USA,,,,,NOT,1906
42,accaj001,Accardo,Jeremy Lee,Jeremy,12/18/1981,Phoenix,Arizona,USA,5/4/2005,9/27/2012,,,44291,44503,,,,,,,R,R,2-Jun,190,,,,,,,,,NOT,2005
43,aceva001,Aceves,Alfredo,Alfredo,12/8/1982,San Luis Rio Colorado,Sonora,Mexico,8/31/2008,6/2/2014,,,,,,,,,,,R,R,3-Jun,220,,,,,,,,,NOT,2008
44,acevj001,Acevedo,Juan Carlos,Juan,5/5/1970,Ciudad Juarez,Chihuahua,Mexico,4/30/1995,8/5/2003,,,,,,,,,,,R,R,2-Jun,195,,,,,,,,,NOT,1995
45,acevj002,Acevedo,Jose Omar,Jose,12/18/1977,Santo Domingo,Distrito Nacional,Dominican Republic,6/19/2001,9/29/2005,,,,,,,,,,,R,R,Jun-00,185,,,,,,,,,NOT,2001
46,achta001,Achter,Adam Joseph,A.J.,8/27/1988,Toledo,Ohio,USA,9/3/2014,10/1/2016,,,,,,,,,,,R,R,5-Jun,205,,,,,,,,,NOT,2014
47,ackej001,Acker,James Justin,Jim,9/24/1958,Freer,Texas,USA,4/7/1983,6/14/1992,,,,,,,1/4/2021,Narvon,Pennsylvanis,USA,R,R,2-Jun,210,,,,,,,,,NOT,1983
48,acket101,Acker,Thomas James,Tom,3/7/1930,Paterson,New Jersey,USA,4/20/1956,9/20/1959,,,,,,,,,,,R,R,4-Jun,215,,,,,,,,,NOT,1956
49,ackld001,Ackley,Dustin Michael,Dustin,2/26/1988,Winston-Salem,North Carolina,USA,6/17/2011,5/29/2016,,,,,,,,,,,L,R,1-Jun,185,,,,,,,,,NOT,2011
50,acklf101,Ackley,Florian Frederick,Fritz,4/10/1937,Hayward,Wisconsin,USA,9/21/1963,5/9/1964,,,,,,,5/22/2002,Duluth,Minnesota,USA,L,R,6-01.5,202,Greenwood Cemetery,Hayward,Wisconsin,USA,,,,,NOT,1963
51,acosc101,Acosta,Cecilio (Miranda),Cy,11/22/1946,El Sabino,Sinaloa,Mexico,6/4/1972,5/5/1975,,,,,,,,,,,R,R,10-May,165,,,,,,,,,NOT,1972
52,acose101,Acosta,Eduardo Elixbet (Lopez),Ed,3/9/1944,Boquete,Chiriqui,Panama,9/7/1970,10/4/1972,,,,,,,,,,,B,R,5-Jun,215,,,,,,,,,NOT,1970
53,acosj101,Acosta,Jose,Jose,03/04/1891,Havana,,Cuba,7/28/1920,5/12/1922,,,,,,,11/16/1977,Havana,,Cuba,R,R,6-May,134,,,,,,,,,NOT,1920
54,acosm001,Acosta,Manuel Alcides (Molina),Manny,5/1/1981,Colon,Colon,Panama,8/12/2007,10/3/2012,,,,,,,,,,,R,R,4-Jun,170,,,,,,,,,NOT,2007
55,acosm101,Acosta,Baldomero Pedro (Fernandez),Merito,05/19/1896,Bauta,,Cuba,6/5/1913,9/2/1918,,,,,,,11/17/1963,Miami,Florida,USA,L,L,7-May,140,Flagler Memorial Park,Miami,Florida,USA,,,,,NOT,1913
56,acrem001,Acre,Mark Robert,Mark,9/16/1968,Concord,California,USA,5/13/1994,5/10/1997,,,,,,,,,,,R,R,8-Jun,235,,,,,,,,,NOT,1994
57,acunr001,Acuna,Ronald Jose,Ronald,12/18/1997,La Guaira,Vargas,Venezuela,4/25/2018,10/18/2020,,,,,,,,,,,R,R,Jun-00,180,,,,,,,,,NOT,2018
58,adaij101,Adair,Kenneth Jerry,Jerry,12/17/1936,Sand Springs,Oklahoma,USA,9/2/1958,5/3/1970,,,26404,27665,,,5/31/1987,Tulsa,Oklahoma,USA,R,R,Jun-00,175,Woodland Memorial Park,Sand Springs,Oklahoma,USA,"Section Y, 84, 1",,,,NOT,1958
59,adaij102,Adair,James Aubrey,Jimmy,1/25/1907,Waxahachie,Texas,USA,8/24/1931,9/7/1931,,,18735,24018,,,12/9/1982,Farmers Branch,Texas,USA,R,R,5-10.5,154,Sparkman-Hillcrest Memorial Park,Dallas,Texas,USA,,,,,NOT,1931
60,adama001,Adams,Austin David,Austin,8/19/1986,Montgomery,Alabama,USA,7/12/2014,7/6/2019,,,,,,,,,,,R,R,11-May,190,,,,,,,,,NOT,2014
61,adama002,Adams,Austin Lance,Austin,5/5/1991,Tampa,Florida,USA,7/15/2017,10/8/2020,,,,,,,,,,,R,R,2-Jun,225,,,,,,,,,NOT,2017
62,adama101,Adams,Ace Townsend,Ace,3/2/1910,Willows,California,USA,4/15/1941,4/24/1946,,,,,,,2/26/2006,Albany,Georgia,USA,R,R,5-10.5,182,Friendship Cemetery,Donalsonville,Georgia,USA,,,,,NOT,1941
63,adamb101,Adams,Elvin Clark,Buster,6/24/1915,Trinidad,Colorado,USA,4/27/1939,9/21/1947,,,,,,,9/1/1990,Rancho Mirage,California,USA,R,R,Jun-00,180,Eternal Hills Memorial Park,Oceanside,California,USA,,,,,NOT,1939
64,adamb102,Adams,Robert Andrew,Bob,1/20/1907,Birmingham,Alabama,USA,9/27/1931,9/17/1932,,,,,,,3/6/1970,Jacksonville,Florida,USA,R,R,6-00.5,165,Restlawn Memorial Park,Jacksonville,Florida,USA,,,,,NOT,1931
65,adamb103,Adams,Robert Henry,Bobby,12/14/1921,Tuolumne,California,USA,4/16/1946,4/22/1959,,,22382,26938,,,2/13/1997,Gig Harbor,Washington,USA,R,R,5-10.5,160,Cremated,,,,Ashes retained by family,,,,NOT,1946
66,adamb104,Adams,Charles Benjamin,Babe,05/18/1882,Tipton,Indiana,USA,4/18/1906,8/11/1926,,,,,,,7/27/1968,Silver Spring,Maryland,USA,L,R,5-11.5,185,Mount Moriah Cemetery,Mount Moriah,Missouri,USA,"Cremated at Fort Lincoln Cemetery, Brentwood, MD",,,,NOT,1906
67,adamb105,Adams,Robert Melvin,Bob,1/6/1952,Pittsburgh,Pennsylvania,USA,7/10/1977,9/29/1977,,,,,,,,,,,R,R,2-Jun,200,,,,,,,,,NOT,1977
68,adamb106,Adams,John Bertram,Jack,06/21/1891,Wharton,Texas,USA,8/30/1910,9/28/1919,,,,,,,6/24/1940,Los Angeles,California,USA,B,R,1-Jun,185,Hollywood Forever Cemetery,North Hollywood,California,USA,,,,,NOT,1910
69,adamb107,Adams,Robert Burnette,Bob,7/24/1901,Holyoke,Massachusetts,USA,9/22/1925,9/23/1925,,,,,,,10/17/1996,Lemoyne,Pennsylvania,USA,R,R,11-May,168,Schuykill Haven Union Cemetery,Schuykill Haven,Pennsylvania,USA,,,,,NOT,1925
70,adamc001,Adames,Cristhian Pascual,Cristhian,7/26/1991,Santo Domingo,Distrito Nacional,Dominican Republic,7/29/2014,9/29/2019,,,,,,,,,,,B,R,Jun-00,180,,,,,,,,,NOT,2014
71,adamc002,Adams,Chance,Chance,8/10/1994,Scottsdale,Arizona,USA,8/4/2018,9/22/2020,,,,,,,,,,,R,R,1-Jun,220,,,,,,,,,NOT,2018
72,adamd001,Adams,David Lee,David,5/15/1987,Margate,Florida,USA,5/15/2013,9/29/2013,,,,,,,,,,,R,R,1-Jun,205,,,,,,,,,NOT,2013
73,adamd101,Adams,Harold Douglas,Doug,1/27/1943,Blue River,Wisconsin,USA,9/8/1969,10/1/1969,,,,,,,,,,,L,R,3-Jun,185,,,,,,,,,NOT,1969
74,adamd102,Adams,Richard Leroy,Dick,4/8/1920,Tuolumne,California,USA,5/20/1947,9/28/1947,,,,,,,9/14/2016,Fallbrook,California,USA,R,L,Jun-00,185,Cremated,,,,,,,,NOT,1947
75,adamd103,Adams,Daniel Leslie,Dan,06/19/1887,St. Louis,Missouri,USA,5/22/1914,9/26/1915,,,,,,,10/6/1964,St. Louis,Missouri,USA,R,R,5-11.5,165,Resurrection Cemetery,St. Louis,Missouri,USA,,,,,NOT,1914
76,adamg101,Adams,Glenn Charles,Glenn,10/4/1947,Northbridge,Massachusetts,USA,5/4/1975,10/3/1982,,,,,,,,,,,L,R,1-Jun,180,,,,,,,,,NOT,1975
77,adamg102,Adams,George Henry,George,01/25/1855,Worcester,Massachusetts,USA,06/14/1879,06/21/1879,,,,,,,10/11/1920,Clarkston,Washington,USA,R,R,6-May,175,Normal Hill Cemetery,Lewiston,Idaho,USA,,,,,NOT,1879
78,adamh101,Adams,Herbert Loren,Herb,4/14/1928,Hollywood,California,USA,9/17/1948,8/30/1950,,,,,,,2/1/2012,Tulsa,Oklahoma,USA,L,L,9-May,160,Calvary Cemetery,Tulsa,Oklahoma,USA,,,,,NOT,1948
79,adamj001,Adamson,Joel Lee,Joel,7/2/1971,Lakewood,California,USA,4/10/1996,4/26/1998,,,,,,,,,,,L,L,4-Jun,185,,,,,,,,,NOT,1996
80,adamj002,Adam,Jason Kendall,Jason,8/4/1991,Overland Park,Kansas,USA,5/5/2018,9/26/2020,,,,,,,,,,,R,R,4-Jun,225,,,,,,,,,NOT,2018
81,adamj101,Adams,James J.,Jim,1868,East St. Louis,Illinois,USA,04/21/1890,04/21/1890,,,,,,,,,,,,R,6-May,148,,,,,,,,,NOT,1890
82,adamj102,Adams,Joseph Edward,Joe,10/28/1877,Cowden,Illinois,USA,4/26/1902,4/26/1902,,,,,,,10/8/1952,Bachelor,Missouri,USA,R,L,Jun-00,190,Myers Cemetery,Herrick,Illinois,USA,,,,,NOT,1902
83,adamk101,Adams,Karl Tutwiler,Karl,08/11/1891,Columbus,Georgia,USA,4/19/1914,9/23/1915,,,,,,,9/17/1967,Everett,Washington,USA,R,R,2-Jun,170,Cypress Lawn Memorial Park,Everett,Washington,USA,,,,,NOT,1914
84,adaml001,Adams,Lane Weston,Lane,11/13/1989,Talihina,Oklahoma,USA,9/1/2014,9/30/2018,,,,,,,,,,,R,R,4-Jun,190,,,,,,,,,NOT,2014
85,adamm001,Adams,Jon Michael,Mike,7/29/1978,Corpus Christi,Texas,USA,5/18/2004,9/18/2014,,,,,,,,,,,R,R,5-Jun,190,,,,,,,,,NOT,2004
86,adamm002,Adams,Matthew James,Matt,8/31/1988,"Philipsburg, Centre County",Pennsylvania,USA,5/20/2012,8/29/2020,,,,,,,,,,,L,R,3-Jun,230,,,,,,,,,NOT,2012
87,adamm101,Adamson,John Michael,Mike,9/13/1947,San Diego,California,USA,7/1/1967,5/7/1969,,,,,,,,,,,R,R,2-Jun,185,,,,,,,,,NOT,1967
88,adamm102,Adams,Robert Michael,Mike,7/24/1948,Cincinnati,Ohio,USA,9/10/1972,7/25/1978,,,,,,,,,,,R,R,9-May,180,,,,,,,,,NOT,1972
89,adamr001,Adams,Ricky Lee,Ricky,1/21/1959,Upland,California,USA,9/15/1982,10/5/1985,,,,,,,10/28/2011,Rancho Cucamonga,California,USA,R,R,2-Jun,180,Bellevue Memorial Gardens,Ontario,California,USA,,,,,NOT,1982
90,adamr002,Adams,Russ Moore,Russ,8/30/1980,Laurinburg,North Carolina,USA,9/3/2004,6/30/2009,,,,,,,,,,,L,R,1-Jun,180,,,,,,,,,NOT,2004
91,adamr003,Adams,Ryan Scott,Ryan,4/21/1987,New Orleans,Louisiana,USA,5/20/2011,9/19/2011,,,,,,,,,,,R,R,11-May,185,,,,,,,,,NOT,2011
92,adamr101,Adams,Charles Dwight,Red,10/7/1921,Parlier,California,USA,5/5/1946,7/2/1946,,,25300,29500,,,1/18/2017,Fresno,California,USA,R,R,Jun-00,185,Parlier Cemetery District,Sanger,California,USA,,,,,NOT,1946
93,adamr102,Adams,Reuben Alexander,Rick,12/24/1878,Paris,Texas,USA,7/13/1905,9/29/1905,,,,,,,3/10/1955,Paris,Texas,USA,L,L,Jun-00,165,Providence Cemetery,Paris,Texas,USA,,,,,NOT,1905
94,adams101,Adams,Earl John,Sparky,08/26/1894,Zerbe,Pennsylvania,USA,9/18/1922,9/30/1934,,,,,,,2/24/1989,Pottsville,Pennsylvania,USA,R,R,5-05.5,151,St. Peter Church of Christ Cemetery,Tremont,Pennsylvania,USA,,,,,NOT,1922
95,adams102,Adams,Spencer Dewey,Spencer,06/21/1898,Layton,Utah,USA,4/22/1923,10/2/1927,,,,,,,11/24/1970,Salt Lake City,Utah,USA,L,R,9-May,158,Kaysville City Cemetery,Kaysville,Utah,USA,,,,,NOT,1923
96,adamt001,Adams,Terry Wayne,Terry,3/6/1973,Mobile,Alabama,USA,8/10/1995,5/23/2005,,,,,,,,,,,R,R,3-Jun,180,,,,,,,,,NOT,1995
97,adamw001,Adams,William Edward,Willie,10/8/1972,Gallup,New Mexico,USA,6/11/1996,8/14/1997,,,,,,,,,,,R,R,7-Jun,215,,,,,,,,,NOT,1996
98,adamw002,Adames,Willy Rafael,Willy,9/2/1995,Santiago,Santiago,Dominican Republic,5/22/2018,10/27/2020,,,,,,,,,,,R,R,Jun-00,200,,,,,,,,,NOT,2018
99,adamw101,Adams,James Irvin,Willie,09/27/1890,Clearfield,Pennsylvania,USA,6/30/1912,9/6/1919,,,,,,,6/18/1937,Albany,New York,USA,R,R,4-Jun,180,Philipsburg Cemetery,"Philipsburg, Centre County",Pennsylvania,USA,,,,,NOT,1912
100,adcoj101,Adcock,Joseph Wilbur,Joe,10/30/1927,Coushatta,Louisiana,USA,4/23/1950,10/1/1966,4/11/1967,10/1/1967,,,,,5/3/1999,Coushatta,Louisiana,USA,R,R,4-Jun,210,Holly Springs Cemetery,Martin,Louisiana,USA,,,,,NOT,1950
101,adcon001,Adcock,Nathan Masler,Nathan,2/25/1988,Elizabethtown,Kentucky,USA,3/31/2011,7/26/2015,,,,,,,,,,,R,R,5-Jun,220,,,,,,,,,NOT,2011
102,addib101,Addis,Robert Gordon,Bob,11/6/1925,Mineral,Ohio,USA,9/1/1950,6/12/1953,,,,,,,11/15/2016,Mentor,Ohio,USA,L,R,Jun-00,175,Greenlawn Cemetery,Akron,Ohio,USA,,,,,NOT,1950
103,adduj001,Adduci,James David,Jim,8/9/1959,Chicago,Illinois,USA,9/12/1983,7/26/1989,,,,,,,,,,,L,L,5-Jun,200,,,,,,,,,NOT,1983
104,adduj002,Adduci,Jim Charles,Jim,5/15/1985,Burnaby,British Columbia,Canada,9/1/2013,6/1/2019,,,,,,,,,,,L,L,2-Jun,210,,,,,,,,,NOT,2013
105,addyb101,Addy,Robert Edward,Bob,02/  /1842,Port Hope,Ontario,Canada,05/06/1871,10/06/1877,10/04/1875,08/21/1877,,,10/28/1875,10/28/1875,4/9/1910,Pocatello,Idaho,USA,L,L,8-May,160,Mountain View Cemetery,Pocatello,Idaho,USA,,,,,NOT,1871
106,adelj001,Adell,Jordon Scott,Jo,4/8/1999,Shelby,North Carolina,USA,8/4/2020,9/27/2020,,,,,,,,,,,R,R,3-Jun,215,,,,,,,,,,2020
107,adenn001,Adenhart,Nicholas James,Nick,8/24/1986,Silver Spring,Maryland,USA,5/1/2008,4/8/2009,,,,,,,4/9/2009,Orange,California,USA,R,R,3-Jun,185,Greenlawn Memorial Park,Williamsport,Maryland,USA,,,,,NOT,2008
108,aderm101,Aderholt,Morris Woodrow,Morrie,9/13/1915,Mount Olive,North Carolina,USA,9/13/1939,9/30/1945,,,,,,,3/18/1955,Sarasota,Florida,USA,L,R,1-Jun,188,Appomattox Cemetery,Hopewell,Virginia,USA,,,,,NOT,1939
109,adkid101,Adkins,Richard Earl,Dick,3/3/1920,Electra,Texas,USA,9/19/1942,9/20/1942,,,,,,,9/12/1955,Electra,Texas,USA,R,R,10-May,165,Electra Memorial Park,Electra,Texas,USA,,,,,NOT,1942
110,adkid102,Adkins,Merle Theron,Doc,08/05/1872,Troy,Wisconsin,USA,6/24/1902,9/29/1903,,,,,,,2/21/1934,Durham,North Carolina,USA,R,R,5-10.5,220,Maplewood Cemetery,Durham,North Carolina,USA,,,,,NOT,1902
111,adkid103,Adkins,John Dewey,Dewey,5/11/1918,Norcatur,Kansas,USA,9/19/1942,10/2/1949,,,,,,,12/26/1998,Santa Monica,California,USA,R,R,2-Jun,195,Wilsonville Cemetery,Wilsonville,Nebraska,USA,,,,,NOT,1942
112,adkig101,Adkins,Grady Emmett,Grady,06/29/1897,Jacksonville,Arkansas,USA,4/13/1928,10/5/1929,,,,,,,3/31/1966,Little Rock,Arkansas,USA,R,R,11-May,175,Pine Crest Memorial Park,Alexander,Arkansas,USA,,,,,NOT,1928
113,adkih101,Atkinson,John Harry,Harry,06/16/1874,Fulton,Missouri,USA,09/25/1895,09/25/1895,,,,,,,1/2/1953,Mexico,Missouri,USA,,,,,Hillcrest Cemetery,Fulton,Missouri,USA,,,,,NOT,1895
114,adkij001,Adkins,Jonathan Scott,Jon,8/30/1977,Huntington,West Virginia,USA,8/14/2003,9/27/2008,,,,,,,,,,,L,R,Jun-00,200,,,,,,,,,NOT,2003
115,adkis001,Adkins,Steven Thomas,Steve,10/26/1964,Chicago,Illinois,USA,9/12/1990,10/3/1990,,,,,,,,,,,R,L,6-Jun,210,,,,,,,,,NOT,1990
116,adled101,Adlesh,David George,Dave,7/15/1943,Long Beach,California,USA,5/12/1963,9/28/1968,,,,,,,2/15/2016,Long Beach,California,USA,R,R,Jun-00,187,Forest Lawn Memorial Park,Cypress,California,USA,,,,,NOT,1963
