Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1996,BAL,Pat Gillick,---,"","",88,74,0.543,2,Lost ALCS (Yankees)
1995,BAL,Roland Hemond,---,"","",71,73,0.493,3,dnq
1994,BAL,Roland Hemond,---,"","",63,49,0.563,2,dnq
1993,BAL,Roland Hemond,---,"","",85,77,0.525,3,dnq
1992,BAL,Roland Hemond,---,"","",89,73,0.549,3,dnq
1991,BAL,Roland Hemond,---,"","",67,95,0.414,6,dnq
1990,BAL,Roland Hemond,---,"","",76,85,0.472,5,dnq
1989,BAL,Roland Hemond,---,"","",87,75,0.537,2,dnq
1988,BAL,Roland Hemond,---,"","",54,107,0.335,7,dnq
1987,BAL,Hank Peters,---,"","",67,95,0.414,6,dnq
1986,BAL,Hank Peters,---,"","",73,89,0.451,7,dnq
1985,BAL,Hank Peters,---,"","",83,78,0.516,4,dnq
1984,BAL,Hank Peters,---,"","",85,77,0.525,5,dnq
1983,BAL,Hank Peters,---,"","",98,64,0.605,1,Won World Series (Phillies)
1982,BAL,Hank Peters,---,"","",94,68,0.58,2,dnq
1981,BAL,Hank Peters,---,"","",59,46,0.562,0,dnq
1980,BAL,Hank Peters,---,"","",100,62,0.617,2,dnq
1979,BAL,Hank Peters,---,"","",102,57,0.642,1,Lost World Series (Pirates)
1978,BAL,Hank Peters,---,"","",90,71,0.559,4,dnq
1977,BAL,Hank Peters,---,"","",97,64,0.602,2,dnq
1976,BAL,Hank Peters,---,"","",88,74,0.543,2,dnq
1975,BAL,Frank Cashen,---,"","",90,69,0.566,2,dnq
1974,BAL,Frank Cashen,---,"","",91,71,0.562,1,Lost ALCS (Athletics)
1973,BAL,Frank Cashen,---,"","",97,65,0.599,1,Lost ALCS (Athletics)
1972,BAL,Frank Cashen,---,"","",80,74,0.519,3,dnq
1971,BAL,Harry Dalton,---,"","",101,57,0.639,1,Lost World Series (Pirates)
1970,BAL,Harry Dalton,---,"","",108,54,0.667,1,Won World Series (Reds)
1969,BAL,Harry Dalton,---,"","",109,53,0.673,1,Lost World Series (Mets)
1968,BAL,Harry Dalton,---,"","",91,71,0.562,2,dnq
1967,BAL,Harry Dalton,---,"","",76,85,0.472,7,dnq
1966,BAL,Harry Dalton,---,"","",97,63,0.606,1,Won World Series (Dodgers)
1965,BAL,Lee MacPhail,---,"","",94,68,0.58,3,dnq
1964,BAL,Lee MacPhail,---,"","",97,65,0.599,3,dnq
1963,BAL,Lee MacPhail,---,"","",86,76,0.531,4,dnq
1962,BAL,Lee MacPhail,---,"","",77,85,0.475,7,dnq
1961,BAL,Lee MacPhail,---,"","",95,67,0.586,3,dnq
1960,BAL,Lee MacPhail,---,"","",89,65,0.578,2,dnq
1959,BAL,Lee MacPhail,---,"","",74,80,0.481,6,dnq
1958,BAL,Paul Richards,MLB,1932-1946,1932-1946,74,79,0.484,6,dnq
1957,BAL,Paul Richards,MLB,1932-1946,1932-1946,76,76,0.5,5,dnq
1956,BAL,Paul Richards,MLB,1932-1946,1932-1946,69,85,0.448,6,dnq
1955,BAL,Paul Richards,MLB,1932-1946,1932-1946,57,97,0.37,7,dnq
1954,BAL,Art Ehlers,---,"","",54,100,0.351,7,dnq
1953,SLB,Bill Veeck,---,"","",54,100,0.351,8,dnq
1952,SLB,Bill Veeck,---,"","",64,90,0.416,7,dnq
1951,SLB,Bill DeWitt,---,"","",52,102,0.338,8,dnq
1950,SLB,Bill DeWitt,---,"","",58,96,0.377,7,dnq
2021,BOS,Brian O'Halloran,---,"","",0,0,---,5,---
2020,BOS,Dave Dombrowski,---,"","",24,36,0.4,5,dnq
2019,BOS,Dave Dombrowski,---,"","",84,78,0.519,3,dnq
2018,BOS,Dave Dombrowski,---,"","",108,54,0.667,1,Won World Series (Dodgers)
2017,BOS,Dave Dombrowski,---,"","",93,69,0.574,1,Lost in 1st Round (Astros)
2016,BOS,Mike Hazen,A,"",1995-1999,93,69,0.574,1,Lost in 1st Round (Indians)
2015,BOS,Ben Cherington,---,"","",78,84,0.481,5,dnq
2014,BOS,Ben Cherington,---,"","",71,91,0.438,5,dnq
2013,BOS,Ben Cherington,---,"","",97,65,0.599,1,Won World Series (Cardinals)
2012,BOS,Ben Cherington,---,"","",69,93,0.426,5,dnq
2011,BOS,Theo Epstein,---,"","",90,72,0.556,3,dnq
2010,BOS,Theo Epstein,---,"","",89,73,0.549,3,dnq
2009,BOS,Theo Epstein,---,"","",95,67,0.586,2,Lost in ALDS (LA Angels)
2008,BOS,Theo Epstein,---,"","",95,67,0.586,2,Lost in ALCS (Tampa Bay)
2007,BOS,Theo Epstein,---,"","",96,66,0.593,1,Won World Series (Colorado)
2006,BOS,Theo Epstein,---,"","",86,76,0.531,3,dnq
2005,BOS,Theo Epstein,---,"","",95,67,0.586,2,Lost ALDS (White Sox)
2004,BOS,Theo Epstein,---,"","",98,64,0.605,2,Won World Series (Cardinals)
2003,BOS,Theo Epstein,---,"","",95,67,0.586,2,Lost ALCS (Yankees)
2002,BOS,Mike Port,---,"","",93,69,0.574,2,dnq
2001,BOS,Dan Duquette,---,"","",82,79,0.509,2,dnq
2000,BOS,Dan Duquette,---,"","",85,77,0.525,2,dnq
1999,BOS,Dan Duquette,---,"","",94,68,0.58,2,Lost ALCS (Yankees)
1998,BOS,Dan Duquette,---,"","",92,70,0.568,2,Lost in 1st Round (Indians)
1997,BOS,Dan Duquette,---,"","",78,84,0.481,4,dnq
1996,BOS,Dan Duquette,---,"","",85,77,0.525,3,dnq
1995,BOS,Dan Duquette,---,"","",86,58,0.597,1,Lost in 1st Round (Indians)
1994,BOS,Dan Duquette,---,"","",54,61,0.47,4,dnq
1993,BOS,Lou Gorman,---,"","",80,82,0.494,5,dnq
1992,BOS,Lou Gorman,---,"","",73,89,0.451,7,dnq
1991,BOS,Lou Gorman,---,"","",84,78,0.519,3,dnq
1990,BOS,Lou Gorman,---,"","",88,74,0.543,1,Lost ALCS (Athletics)
1989,BOS,Lou Gorman,---,"","",83,79,0.512,3,dnq
1988,BOS,Lou Gorman,---,"","",89,73,0.549,1,Lost ALCS (Athletics)
1987,BOS,Lou Gorman,---,"","",78,84,0.481,5,dnq
1986,BOS,Lou Gorman,---,"","",95,66,0.59,1,Lost World Series (Mets)
1985,BOS,Lou Gorman,---,"","",81,81,0.5,5,dnq
1984,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,86,76,0.531,4,dnq
1983,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,78,84,0.481,6,dnq
1982,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,89,73,0.549,3,dnq
1981,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,59,49,0.546,0,dnq
1980,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,83,77,0.519,4,dnq
1979,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,91,69,0.569,3,dnq
1978,BOS,Haywood Sullivan,MLB,1955-1963,1955-1963,99,64,0.607,2,dnq
1977,BOS,Dick O'Connell,---,"","",97,64,0.602,3,dnq
1976,BOS,Dick O'Connell,---,"","",83,79,0.512,3,dnq
1975,BOS,Dick O'Connell,---,"","",95,65,0.594,1,Lost World Series (Reds)
1974,BOS,Dick O'Connell,---,"","",84,78,0.519,3,dnq
1973,BOS,Dick O'Connell,---,"","",89,73,0.549,2,dnq
1972,BOS,Dick O'Connell,---,"","",85,70,0.548,2,dnq
1971,BOS,Dick O'Connell,---,"","",85,77,0.525,3,dnq
1970,BOS,Dick O'Connell,---,"","",87,75,0.537,3,dnq
1969,BOS,Dick O'Connell,---,"","",87,75,0.537,3,dnq
1968,BOS,Dick O'Connell,---,"","",86,76,0.531,4,dnq
1967,BOS,Dick O'Connell,---,"","",92,70,0.568,1,Lost World Series (Cardinals)
1966,BOS,Dick O'Connell,---,"","",72,90,0.444,9,dnq
1965,BOS,Pinky Higgins,MLB,1930-1946,1930-1946,62,100,0.383,9,dnq
1964,BOS,Pinky Higgins,MLB,1930-1946,1930-1946,72,90,0.444,8,dnq
1963,BOS,Pinky Higgins,MLB,1930-1946,1930-1946,76,85,0.472,7,dnq
1962,BOS,Dick O'Connell,---,"","",76,84,0.475,8,dnq
1961,BOS,Dick O'Connell,---,"","",76,86,0.469,6,dnq
1960,BOS,Bucky Harris,MLB,1919-1931,1919-1931,65,89,0.422,7,dnq
1959,BOS,Bucky Harris,MLB,1919-1931,1919-1931,75,79,0.487,5,dnq
1958,BOS,Joe Cronin,MLB,1926-1945,1926-1945,79,75,0.513,3,dnq
1957,BOS,Joe Cronin,MLB,1926-1945,1926-1945,82,72,0.532,3,dnq
1956,BOS,Joe Cronin,MLB,1926-1945,1926-1945,84,70,0.545,4,dnq
1955,BOS,Joe Cronin,MLB,1926-1945,1926-1945,84,70,0.545,4,dnq
1954,BOS,Joe Cronin,MLB,1926-1945,1926-1945,69,85,0.448,4,dnq
1953,BOS,Joe Cronin,MLB,1926-1945,1926-1945,84,69,0.549,4,dnq
1952,BOS,Joe Cronin,MLB,1926-1945,1926-1945,76,78,0.494,6,dnq
1951,BOS,Joe Cronin,MLB,1926-1945,1926-1945,87,67,0.565,3,dnq
1950,BOS,Joe Cronin,MLB,1926-1945,1926-1945,94,60,0.61,3,dnq
2020,CHC,Jed Hoyer,---,"","",34,25,0.576,1,Lost in Wild Card Series (Marlins)
2019,CHC,Jed Hoyer,---,"","",84,78,0.519,3,dnq
2018,CHC,Jed Hoyer,---,"","",95,68,0.583,2,Lost NL Wild-Card Game (Rockies)
2017,CHC,Jed Hoyer,---,"","",92,70,0.568,1,Lost in NLCS (Dodgers)
2016,CHC,Jed Hoyer,---,"","",103,58,0.64,1,Won World Series (Indians)
2015,CHC,Jed Hoyer,---,"","",97,65,0.599,3,Lost in ALCS (Mets)
2014,CHC,Jed Hoyer,---,"","",73,89,0.451,5,dnq
2013,CHC,Jed Hoyer,---,"","",66,96,0.407,5,dnq
2012,CHC,Jed Hoyer,---,"","",61,101,0.377,5,dnq
2011,CHC,Randy Bush,MLB,1982-1993,1979-1993,71,91,0.438,5,dnq
2011,CHC,Jim Hendry,---,"","",71,91,0.438,5,dnq
2010,CHC,Jim Hendry,---,"","",75,87,0.463,5,dnq
2009,CHC,Jim Hendry,---,"","",83,78,0.516,2,dnq
2008,CHC,Jim Hendry,---,"","",97,64,0.602,1,Lost in NLDS (Los Angeles)
2007,CHC,Jim Hendry,---,"","",85,77,0.525,1,Lost in NLDS (Arizona)
2006,CHC,Jim Hendry,---,"","",66,96,0.407,6,dnq
2005,CHC,Jim Hendry,---,"","",79,83,0.488,4,dnq
2004,CHC,Jim Hendry,---,"","",89,73,0.549,3,dnq
2003,CHC,Jim Hendry,---,"","",88,74,0.543,1,Lost NLCS (Marlins)
2002,CHC,Andy MacPhail,---,"","",67,95,0.414,5,dnq
2001,CHC,Andy MacPhail,---,"","",88,74,0.543,3,dnq
2000,CHC,Ed Lynch,MLB,1980-1987,1974-1988,65,97,0.401,6,dnq
1999,CHC,Ed Lynch,MLB,1980-1987,1974-1988,67,95,0.414,6,dnq
1998,CHC,Ed Lynch,MLB,1980-1987,1974-1988,90,73,0.552,2,Lost in 1st Round (Braves)
1997,CHC,Ed Lynch,MLB,1980-1987,1974-1988,68,94,0.42,5,dnq
1996,CHC,Ed Lynch,MLB,1980-1987,1974-1988,76,86,0.469,4,dnq
1995,CHC,Ed Lynch,MLB,1980-1987,1974-1988,73,71,0.507,3,dnq
1994,CHC,Larry Himes,---,"","",49,64,0.434,5,dnq
1993,CHC,Larry Himes,---,"","",84,78,0.519,4,dnq
1992,CHC,Larry Himes,---,"","",78,84,0.481,4,dnq
1991,CHC,Jim Frey,---,"","",77,83,0.481,4,dnq
1990,CHC,Jim Frey,---,"","",77,85,0.475,5,dnq
1989,CHC,Jim Frey,---,"","",93,69,0.574,1,Lost NLCS (Giants)
1988,CHC,Jim Frey,---,"","",77,85,0.475,4,dnq
1987,CHC,Dallas Green,MLB,1960-1967,1960-1967,76,85,0.472,6,dnq
1986,CHC,Dallas Green,MLB,1960-1967,1960-1967,70,90,0.438,5,dnq
1985,CHC,Dallas Green,MLB,1960-1967,1960-1967,77,84,0.478,4,dnq
1984,CHC,Dallas Green,MLB,1960-1967,1960-1967,96,65,0.596,1,Lost NLCS (Padres)
1983,CHC,Dallas Green,MLB,1960-1967,1960-1967,71,91,0.438,5,dnq
1982,CHC,Dallas Green,MLB,1960-1967,1960-1967,73,89,0.451,5,dnq
1981,CHC,Bob Kennedy,MLB,1939-1957,1939-1957,38,65,0.369,0,dnq
1980,CHC,Bob Kennedy,MLB,1939-1957,1939-1957,64,98,0.395,6,dnq
1979,CHC,Bob Kennedy,MLB,1939-1957,1939-1957,80,82,0.494,5,dnq
1978,CHC,Bob Kennedy,MLB,1939-1957,1939-1957,79,83,0.488,3,dnq
1977,CHC,Bob Kennedy,MLB,1939-1957,1939-1957,81,81,0.5,4,dnq
1976,CHC,Salty Saltwell,---,"","",75,87,0.463,4,dnq
1975,CHC,John Holland,---,"","",75,87,0.463,6,dnq
1974,CHC,John Holland,---,"","",66,96,0.407,6,dnq
1973,CHC,John Holland,---,"","",77,84,0.478,5,dnq
1972,CHC,John Holland,---,"","",85,70,0.548,2,dnq
1971,CHC,John Holland,---,"","",83,79,0.512,4,dnq
1970,CHC,John Holland,---,"","",84,78,0.519,2,dnq
1969,CHC,John Holland,---,"","",92,70,0.568,2,dnq
1968,CHC,John Holland,---,"","",84,78,0.519,3,dnq
1967,CHC,John Holland,---,"","",87,74,0.54,3,dnq
1966,CHC,John Holland,---,"","",59,103,0.364,10,dnq
1965,CHC,John Holland,---,"","",72,90,0.444,8,dnq
1964,CHC,John Holland,---,"","",76,86,0.469,8,dnq
1963,CHC,John Holland,---,"","",82,80,0.506,7,dnq
1962,CHC,John Holland,---,"","",59,103,0.364,9,dnq
1961,CHC,John Holland,---,"","",64,90,0.416,7,dnq
1960,CHC,John Holland,---,"","",60,94,0.39,7,dnq
1959,CHC,John Holland,---,"","",74,80,0.481,6,dnq
1958,CHC,John Holland,---,"","",72,82,0.468,6,dnq
1957,CHC,John Holland,---,"","",62,92,0.403,8,dnq
1956,CHC,Wid Mathews,---,"","",60,94,0.39,8,dnq
1955,CHC,Wid Mathews,---,"","",72,81,0.471,6,dnq
1954,CHC,Wid Mathews,---,"","",64,90,0.416,7,dnq
1953,CHC,Wid Mathews,---,"","",65,89,0.422,7,dnq
1952,CHC,Wid Mathews,---,"","",77,77,0.5,5,dnq
1951,CHC,Wid Mathews,---,"","",62,92,0.403,8,dnq
1950,CHC,Wid Mathews,---,"","",64,89,0.418,7,dnq
2021,CIN,Nick Krall,---,"","",0,0,---,2,---
2020,CIN,Nick Krall,---,"","",31,29,0.517,2,Lost in Wild Card Series (Braves)
2019,CIN,Nick Krall,---,"","",75,87,0.463,4,dnq
2018,CIN,Nick Krall,---,"","",67,95,0.414,5,dnq
2017,CIN,Dick Williams,---,"","",68,94,0.42,5,dnq
2016,CIN,Dick Williams,---,"","",68,94,0.42,5,dnq
2015,CIN,Walt Jocketty,---,"","",64,98,0.395,5,dnq
2014,CIN,Walt Jocketty,---,"","",76,86,0.469,4,dnq
2013,CIN,Walt Jocketty,---,"","",90,72,0.556,3,Lost NL Wild-Card Game (Pirates)
2012,CIN,Walt Jocketty,---,"","",97,65,0.599,1,Lost in 1st Round (Giants)
2011,CIN,Walt Jocketty,---,"","",79,83,0.488,3,dnq
2010,CIN,Walt Jocketty,---,"","",91,71,0.562,1,Lost in 1st Round (Phillies)
2009,CIN,Walt Jocketty,---,"","",78,84,0.481,4,dnq
2008,CIN,Walt Jocketty,---,"","",74,88,0.457,5,dnq
2007,CIN,Wayne Krivsky,---,"","",72,90,0.444,5,dnq
2006,CIN,Wayne Krivsky,---,"","",80,82,0.494,3,dnq
2005,CIN,Dan O'Brien,---,"","",73,89,0.451,5,dnq
2004,CIN,Dan O'Brien,---,"","",76,86,0.469,4,dnq
2003,CIN,Jim Bowden,---,"","",69,93,0.426,5,dnq
2002,CIN,Jim Bowden,---,"","",78,84,0.481,3,dnq
2001,CIN,Jim Bowden,---,"","",66,96,0.407,5,dnq
2000,CIN,Jim Bowden,---,"","",85,77,0.525,2,dnq
1999,CIN,Jim Bowden,---,"","",96,67,0.589,2,dnq
1998,CIN,Jim Bowden,---,"","",77,85,0.475,4,dnq
1997,CIN,Jim Bowden,---,"","",76,86,0.469,3,dnq
1996,CIN,Jim Bowden,---,"","",81,81,0.5,3,dnq
1995,CIN,Jim Bowden,---,"","",85,59,0.59,1,Lost NLCS (Braves)
1994,CIN,Jim Bowden,---,"","",66,48,0.579,1,dnq
1993,CIN,Jim Bowden,---,"","",73,89,0.451,5,dnq
1992,CIN,Bob Quinn,---,"","",90,72,0.556,2,dnq
1991,CIN,Bob Quinn,---,"","",74,88,0.457,5,dnq
1990,CIN,Bob Quinn,---,"","",91,71,0.562,1,Won World Series (Athletics)
1989,CIN,Murray Cook,---,"","",75,87,0.463,5,dnq
1988,CIN,Murray Cook,---,"","",87,74,0.54,2,dnq
1987,CIN,Bill Bergesch,---,"","",84,78,0.519,2,dnq
1986,CIN,Bill Bergesch,---,"","",86,76,0.531,2,dnq
1985,CIN,Bill Bergesch,---,"","",89,72,0.553,2,dnq
1984,CIN,Bob Howsam,---,"","",70,92,0.432,5,dnq
1983,CIN,Dick Wagner,---,"","",74,88,0.457,6,dnq
1982,CIN,Dick Wagner,---,"","",61,101,0.377,6,dnq
1981,CIN,Dick Wagner,---,"","",66,42,0.611,0,dnq
